,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
0,Max Aarons,eng ENG,MF,Valencia,La Liga,25-045,2000,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,Rodrigo Abajas,es ESP,DF,Valencia,La Liga,21-282,2003,1,1,65,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,2,3,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10
2,Abel,es ESP,DF,Osasuna,La Liga,24-181,2000,23,12,"1,321",14.7,2,0,2,2,0,0,2,0,0.4,0.4,0.6,1.0,33,48,48,0.14,0.00,0.14,0.14,0.14,0.03,0.04,0.07,0.03,0.07
3,Nabil Aberdin,fr FRA,MF,Getafe,La Liga,22-179,2002,7,4,263,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,2,6,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
4,Abdel Abqar,ma MAR,DF,Alavés,La Liga,25-345,1999,22,22,"1,848",20.5,0,1,1,0,0,0,12,0,0.5,0.5,0.2,0.7,13,70,4,0.00,0.05,0.05,0.00,0.05,0.03,0.01,0.04,0.03,0.04
5,Akor Adams,ng NGA,FW,Sevilla,La Liga,25-020,2000,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,Adrián,es ESP,GK,Betis,La Liga,38-046,1987,5,5,450,5.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,Julen Agirrezabala,es ESP,GK,Athletic Club,La Liga,24-054,2000,14,14,"1,206",13.4,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,Lucien Agoume,fr FRA,MF,Sevilla,La Liga,23-009,2002,22,13,"1,132",12.6,0,0,0,0,0,0,3,1,0.2,0.2,0.6,0.8,13,55,13,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07
9,Álvaro Aguado,es ESP,MF,Espanyol,La Liga,28-293,1996,11,4,406,4.5,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.5,9,25,2,0.00,0.00,0.00,0.00,0.00,0.10,0.01,0.11,0.10,0.11
10,Lorenzo Aguado,es ESP,DF,Real Madrid,La Liga,22-152,2002,2,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,Nayef Aguerd,ma MAR,DF,Real Sociedad,La Liga,28-325,1996,18,18,"1,549",17.2,0,0,0,0,0,0,4,0,2.1,2.1,0.1,2.2,22,69,1,0.00,0.00,0.00,0.00,0.00,0.12,0.01,0.13,0.12,0.13
12,Joseph Aidoo,gh GHA,DF,Valladolid,La Liga,29-142,1995,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,Joseph Aidoo,gh GHA,DF,Celta Vigo,La Liga,29-142,1995,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,La Liga,20-308,2004,11,7,584,6.5,1,0,1,1,0,0,1,0,0.6,0.6,1.0,1.6,30,12,64,0.15,0.00,0.15,0.15,0.15,0.09,0.15,0.23,0.09,0.23
15,David Alaba,at AUT,DF,Real Madrid,La Liga,32-239,1992,2,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,Raúl Albiol,es ESP,DF,Villarreal,La Liga,39-167,1985,15,14,"1,188",13.2,0,0,0,0,0,0,5,0,0.1,0.1,0.0,0.1,3,34,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
17,Omar Alderete,py PAR,DF,Getafe,La Liga,28-054,1996,22,22,"1,963",21.8,0,0,0,0,0,0,6,0,0.7,0.7,0.9,1.6,22,78,5,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07
18,Carles Aleñá,es ESP,"MF,FW",Getafe,La Liga,27-044,1998,10,5,452,5.0,0,0,0,0,0,0,1,0,0.9,0.9,0.1,1.0,3,12,10,0.00,0.00,0.00,0.00,0.00,0.18,0.02,0.20,0.18,0.20
19,Carles Aleñá,es ESP,FW,Alavés,La Liga,27-044,1998,1,1,86,1.0,0,2,2,0,0,0,0,0,0.1,0.1,0.1,0.3,0,6,4,0.00,2.09,2.09,0.00,2.09,0.14,0.15,0.29,0.14,0.29
20,Alfon,es ESP,"FW,MF",Celta Vigo,La Liga,25-290,1999,14,5,526,5.8,1,1,2,1,0,0,0,1,2.4,2.4,1.7,4.2,39,12,60,0.17,0.17,0.34,0.17,0.34,0.42,0.29,0.71,0.42,0.71
21,Tadeo Allende,ar ARG,FW,Celta Vigo,La Liga,25-364,1999,1,0,2,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,La Liga,24-264,2000,21,14,"1,204",13.4,0,1,1,0,0,0,1,0,0.4,0.4,1.5,1.9,26,79,46,0.00,0.07,0.07,0.00,0.07,0.03,0.11,0.14,0.03,0.14
23,Iker Almena,es ESP,"FW,DF",Girona,La Liga,20-290,2004,2,0,48,0.5,0,1,1,0,0,0,0,0,0.0,0.0,0.7,0.7,6,2,10,0.00,1.87,1.87,0.00,1.87,0.06,1.27,1.33,0.06,1.33
24,Marcos Alonso,es ESP,DF,Celta Vigo,La Liga,34-052,1990,18,16,"1,530",17.0,0,0,0,0,0,0,8,1,0.7,0.7,0.3,1.0,30,116,33,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06
25,Adrià Altimira,es ESP,"DF,FW",Leganés,La Liga,23-327,2001,14,11,"1,010",11.2,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,14,30,33,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
26,Sergi Altimira,es ESP,MF,Betis,La Liga,23-177,2001,20,14,"1,300",14.4,0,1,1,0,0,0,2,0,1.4,1.3,1.4,2.7,14,69,17,0.00,0.07,0.07,0.00,0.07,0.10,0.10,0.20,0.09,0.19
27,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,La Liga,21-231,2003,22,14,"1,387",15.4,4,2,6,4,0,0,5,0,2.3,2.3,0.8,3.1,66,48,143,0.26,0.13,0.39,0.26,0.39,0.15,0.05,0.20,0.15,0.20
28,Julián Álvarez,ar ARG,"FW,MF",Atlético Madrid,La Liga,25-018,2000,24,19,"1,596",17.7,7,2,9,6,1,1,4,0,6.9,6.1,2.9,9.0,51,53,105,0.39,0.11,0.51,0.34,0.45,0.39,0.16,0.55,0.35,0.51
29,Yeray Álvarez,es ESP,DF,Athletic Club,La Liga,30-025,1995,14,13,"1,151",12.8,0,0,0,0,0,0,3,0,0.3,0.3,0.2,0.5,14,83,0,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
30,Selim Amallah,ma MAR,MF,Valladolid,La Liga,28-095,1996,16,12,964,10.7,3,1,4,2,1,1,5,0,2.7,1.9,0.6,2.4,20,34,16,0.28,0.09,0.37,0.19,0.28,0.25,0.05,0.30,0.17,0.23
