,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
0,Keyliane Abdallah,fr FRA,FW,Marseille,Ligue 1,18-322,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,Ligue 1,37-146,1987,12,11,976,10.8,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.4,4,22,3,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
2,Himad Abdelli,dz ALG,"MF,FW",Angers,Ligue 1,25-096,1999,21,21,"1,862",20.7,4,1,5,2,2,3,2,0,4.2,1.8,2.8,4.6,78,146,87,0.19,0.05,0.24,0.10,0.15,0.20,0.13,0.34,0.09,0.22
3,Mohamed Abdelmoneim,eg EGY,DF,Nice,Ligue 1,26-020,1999,9,7,609,6.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,26,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,Ali Abdi,tn TUN,"DF,MF",Nice,Ligue 1,31-063,1993,14,10,868,9.6,2,2,4,2,0,0,1,0,1.2,1.2,1.4,2.5,26,29,58,0.21,0.21,0.41,0.21,0.41,0.12,0.14,0.26,0.12,0.26
5,Matthis Abline,fr FRA,FW,Nantes,Ligue 1,21-330,2003,22,21,"1,741",19.3,7,1,8,6,1,1,2,0,6.9,6.1,2.4,8.6,45,33,116,0.36,0.05,0.41,0.31,0.36,0.36,0.13,0.48,0.32,0.44
6,Abner,br BRA,DF,Lyon,Ligue 1,24-270,2000,14,9,820,9.1,1,1,2,1,0,0,1,0,0.2,0.2,0.9,1.1,22,51,48,0.11,0.11,0.22,0.11,0.22,0.02,0.10,0.12,0.02,0.12
7,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,Ligue 1,25-003,2000,22,21,"1,758",19.5,6,2,8,5,1,2,4,0,9.7,8.2,1.5,9.7,29,21,149,0.31,0.10,0.41,0.26,0.36,0.50,0.08,0.58,0.42,0.49
8,Akor Adams,ng NGA,FW,Montpellier,Ligue 1,25-023,2000,15,13,"1,075",11.9,3,1,4,3,0,0,2,0,4.3,4.3,1.0,5.3,11,6,45,0.25,0.08,0.33,0.25,0.33,0.36,0.08,0.44,0.36,0.44
9,Martin Adeline,fr FRA,MF,Reims,Ligue 1,21-081,2003,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,Adryelson,br BRA,DF,Lyon,Ligue 1,26-335,1998,1,0,1,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,Emmanuel Agbadou,ci CIV,DF,Reims,Ligue 1,27-249,1997,14,14,"1,260",14.0,0,0,0,0,0,0,3,0,0.5,0.5,0.3,0.8,10,77,0,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06
12,Jeremy Agbonifo,se SWE,"FW,MF",Lens,Ligue 1,19-120,2005,3,0,102,1.1,1,0,1,1,0,0,0,0,0.5,0.5,0.1,0.6,6,1,12,0.88,0.00,0.88,0.88,0.88,0.45,0.05,0.51,0.45,0.51
13,Ruben Aguilar,fr FRA,DF,Lens,Ligue 1,31-301,1993,7,4,364,4.0,0,1,1,0,0,0,1,0,0.2,0.2,0.7,0.8,5,19,34,0.00,0.25,0.25,0.00,0.25,0.04,0.17,0.20,0.04,0.20
14,Naouirou Ahamada,fr FRA,"MF,FW",Rennes,Ligue 1,22-329,2002,3,0,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
15,Jean-Eudes Aholou,ci CIV,MF,Angers,Ligue 1,30-338,1994,21,21,"1,590",17.7,2,0,2,2,0,0,6,0,1.7,1.7,0.4,2.0,14,61,13,0.11,0.00,0.11,0.11,0.11,0.09,0.02,0.12,0.09,0.12
16,Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,Ligue 1,19-241,2005,5,1,127,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,5,8,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09
17,Ludovic Ajorque,fr FRA,FW,Brest,Ligue 1,30-362,1994,20,18,"1,573",17.5,10,1,11,10,0,1,4,0,6.7,5.9,2.4,8.3,7,31,81,0.57,0.06,0.63,0.57,0.63,0.38,0.14,0.52,0.34,0.47
18,Ümit Akdag,ro ROU,DF,Toulouse,Ligue 1,21-138,2003,6,6,434,4.8,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.1,3,26,7,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
19,Sergio Akieme,es ESP,DF,Reims,Ligue 1,27-067,1997,19,18,"1,583",17.6,1,1,2,1,0,0,3,0,0.6,0.6,1.1,1.6,39,60,61,0.06,0.06,0.11,0.06,0.11,0.03,0.06,0.09,0.03,0.09
20,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,Ligue 1,22-362,2002,20,16,"1,452",16.1,3,5,8,3,0,0,1,0,4.9,4.9,4.9,9.9,73,114,143,0.19,0.31,0.50,0.19,0.50,0.30,0.31,0.61,0.30,0.61
21,Clément Akpa,ci CIV,DF,Auxerre,Ligue 1,23-089,2001,20,18,"1,591",17.7,0,0,0,0,0,0,4,0,0.1,0.1,0.4,0.5,20,54,23,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
22,Chuba Akpom,eng ENG,FW,Lille,Ligue 1,29-135,1995,2,1,133,1.5,2,0,2,2,0,1,0,0,2.2,1.4,0.2,1.6,0,1,8,1.35,0.00,1.35,1.35,1.35,1.46,0.15,1.61,0.93,1.08
23,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,Ligue 1,21-033,2004,18,16,"1,207",13.4,3,3,6,3,0,0,2,0,2.5,2.5,2.8,5.3,51,43,99,0.22,0.22,0.45,0.22,0.45,0.19,0.21,0.40,0.19,0.40
24,Jim Allevinah,ga GAB,FW,Angers,Ligue 1,29-360,1995,18,17,"1,180",13.1,0,3,3,0,0,0,3,0,2.0,2.0,2.2,4.3,27,37,63,0.00,0.23,0.23,0.00,0.23,0.16,0.17,0.33,0.16,0.33
25,Thiago Almada,ar ARG,"MF,FW",Lyon,Ligue 1,23-301,2001,4,0,70,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,6,11,1,0.00,0.00,0.00,0.00,0.00,0.09,0.10,0.19,0.09,0.19
26,Jordan Amavi,fr FRA,DF,Brest,Ligue 1,30-349,1994,11,8,790,8.8,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.4,22,36,21,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05
27,Kelvin Amian,fr FRA,DF,Nantes,Ligue 1,27-013,1998,19,14,"1,349",15.0,1,0,1,1,0,0,2,0,0.2,0.2,0.4,0.7,24,43,53,0.07,0.00,0.07,0.07,0.07,0.02,0.03,0.04,0.02,0.04
28,Michael Amir Murillo,pa PAN,DF,Marseille,Ligue 1,29-010,1996,21,18,"1,694",18.8,1,2,3,1,0,0,1,0,1.5,1.5,2.5,3.9,25,96,67,0.05,0.11,0.16,0.05,0.16,0.08,0.13,0.21,0.08,0.21
29,Mathis Amougou,fr FRA,MF,Saint-Étienne,Ligue 1,19-034,2006,17,9,859,9.5,0,0,0,0,0,0,2,0,0.5,0.5,0.4,0.8,8,36,17,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09
30,Benjamin André,fr FRA,MF,Lille,Ligue 1,34-202,1990,19,19,"1,702",18.9,0,1,1,0,0,0,9,0,1.2,1.2,1.1,2.3,18,142,44,0.00,0.05,0.05,0.00,0.05,0.06,0.06,0.12,0.06,0.12
