,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
0,Angers,24,22.0,374,17.0,264,28,16,25,23,18,40,1.82,27,2,1,3,5,2
1,Auxerre,28,22.0,451,20.5,335,34,20,27,18,17,56,2.55,34,6,4,5,7,0
2,Brest,27,22.0,462,21.0,322,50,13,26,35,16,56,2.55,37,2,2,8,5,2
3,Le Havre,31,22.0,362,16.45,229,43,22,28,32,8,26,1.18,14,3,1,5,3,0
4,Lens,31,22.0,549,24.95,421,39,29,38,15,7,35,1.59,26,0,4,4,1,0
5,Lille,27,22.0,517,23.5,397,41,20,31,23,5,59,2.68,38,2,3,9,6,1
6,Lyon,27,22.0,506,23.0,394,38,23,30,18,3,67,3.05,52,2,5,6,2,0
7,Marseille,31,22.0,568,25.82,417,47,33,46,16,9,88,4.0,69,1,4,8,4,2
8,Monaco,28,22.0,570,25.91,440,37,25,37,19,12,75,3.41,56,6,3,6,2,2
9,Montpellier,33,22.0,429,19.5,298,41,24,24,32,10,35,1.59,20,4,4,3,4,0
10,Nantes,28,22.0,417,18.95,304,40,33,21,13,6,44,2.0,33,1,7,1,2,0
11,Nice,29,22.0,516,23.45,369,41,36,30,27,13,67,3.05,46,5,4,5,6,1
12,Paris S-G,24,22.0,744,33.82,597,40,40,39,18,10,100,4.55,77,2,7,9,4,1
13,Reims,30,22.0,465,21.14,344,37,26,30,19,9,44,2.0,31,3,3,7,0,0
14,Rennes,33,22.0,450,20.45,321,44,23,33,19,10,47,2.14,29,4,3,5,5,1
15,Saint-Étienne,31,22.0,379,17.23,275,27,30,22,17,8,37,1.68,26,1,4,2,4,0
16,Strasbourg,28,22.0,409,18.59,293,35,26,22,19,14,61,2.77,44,3,2,6,4,2
17,Toulouse,27,22.0,456,20.73,300,62,24,30,28,12,39,1.77,27,4,2,2,3,1
